Date,AAPL,MSFT,AMZN,GOOGL,FB,V,JNJ,NVDA,NFLX,ADBE,INTC,TSLA,JD,DIS,BA,XOM,QCOM,QQQ
2019-01-02,157.9199981689453,101.12000274658203,1539.1300048828125,1054.6800537109375,135.67999267578125,132.9199981689453,127.75,136.22000122070312,267.6600036621094,224.57000732421875,47.08000183105469,310.1199951171875,21.270000457763672,108.97000122070312,323.80999755859375,69.69000244140625,57.400001525878906,154.8800048828125
2019-01-03,142.19000244140625,97.4000015258789,1500.280029296875,1025.469970703125,131.74000549316406,128.1300048828125,125.72000122070312,127.98999786376953,271.20001220703125,215.6999969482422,44.4900016784668,300.3599853515625,20.350000381469727,106.33000183105469,310.8999938964844,68.62000274658203,55.70000076293945,149.82000732421875
2019-01-04,148.25999450683594,101.93000030517578,1575.3900146484375,1078.0699462890625,137.9499969482422,133.64999389648438,127.83000183105469,136.19000244140625,297.57000732421875,226.19000244140625,47.220001220703125,317.69000244140625,22.270000457763672,109.61000061035156,327.0799865722656,71.1500015258789,56.599998474121094,156.22999572753906
2019-01-07,147.92999267578125,102.05999755859375,1629.510009765625,1075.9200439453125,138.0500030517578,136.05999755859375,127.01000213623047,143.39999389648438,315.3399963378906,229.25999450683594,47.439998626708984,334.9599914550781,22.760000228881836,110.55999755859375,328.1099853515625,71.5199966430664,56.439998626708984,158.08999633789062
2019-01-08,150.75,102.80000305175781,1656.5799560546875,1085.3699951171875,142.52999877929688,136.8000030517578,129.9600067138672,139.8300018310547,320.2699890136719,232.67999267578125,47.7400016784668,335.3500061035156,22.950000762939453,111.41999816894531,340.5299987792969,72.04000091552734,55.95000076293945,159.52000427246094
2019-01-09,153.30999755859375,104.2699966430664,1659.4200439453125,1081.6500244140625,144.22999572753906,138.41000366210938,128.92999267578125,142.5800018310547,319.9599914550781,235.42999267578125,48.0099983215332,338.5299987792969,23.690000534057617,112.66999816894531,343.8299865722656,72.41999816894531,56.61000061035156,160.82000732421875
2019-01-10,153.8000030517578,103.5999984741211,1656.219970703125,1078.8299560546875,144.1999969482422,138.6699981689453,129.7100067138672,145.22999572753906,324.6600036621094,237.77000427246094,48.560001373291016,344.9700012207031,23.399999618530273,112.80000305175781,352.6099853515625,72.05000305175781,56.79999923706055,161.27999877929688
2019-01-11,152.2899932861328,102.80000305175781,1640.56005859375,1064.469970703125,143.8000030517578,138.05999755859375,129.75,148.8300018310547,337.5899963378906,237.5500030517578,48.93000030517578,347.260009765625,22.8799991607666,112.6500015258789,352.8999938964844,71.72000122070312,57.5,160.69000244140625
2019-01-14,150.0,102.05000305175781,1617.2099609375,1051.510009765625,145.38999938964844,137.10000610351562,128.27999877929688,150.44000244140625,332.94000244140625,234.55999755859375,48.349998474121094,334.3999938964844,22.040000915527344,112.41999816894531,350.3599853515625,71.62999725341797,57.29999923706055,159.27000427246094
2019-01-15,153.07000732421875,105.01000213623047,1674.56005859375,1086.510009765625,148.9499969482422,137.33999633789062,129.36000061035156,149.8699951171875,354.6400146484375,242.36000061035156,48.599998474121094,344.42999267578125,22.25,111.76000213623047,352.239990234375,71.66999816894531,55.72999954223633,162.3800048828125
2019-01-16,154.94000244140625,105.37999725341797,1683.780029296875,1089.510009765625,147.5399932861328,137.33999633789062,128.0399932861328,148.83999633789062,351.3900146484375,241.9499969482422,48.130001068115234,346.04998779296875,22.329999923706055,110.91000366210938,352.05999755859375,71.63999938964844,55.27000045776367,162.35000610351562
2019-01-17,155.86000061035156,106.12000274658203,1693.219970703125,1099.1199951171875,148.3000030517578,137.27999877929688,129.08999633789062,151.72000122070312,353.19000244140625,244.39999389648438,48.470001220703125,347.30999755859375,22.139999389648438,111.01000213623047,359.0899963378906,72.12999725341797,54.77000045776367,163.6300048828125
2019-01-18,156.82000732421875,107.70999908447266,1696.199951171875,1107.300048828125,150.0399932861328,138.5,130.69000244140625,156.92999267578125,339.1000061035156,247.50999450683594,49.189998626708984,302.260009765625,23.260000228881836,111.04000091552734,364.7300109863281,72.98999786376953,55.27000045776367,165.25
2019-01-22,153.3000030517578,105.68000030517578,1632.1700439453125,1078.6300048828125,147.57000732421875,138.0500030517578,128.8000030517578,148.77000427246094,325.1600036621094,243.85000610351562,48.27000045776367,298.9200134277344,21.68000030517578,110.5999984741211,357.8999938964844,71.88999938964844,54.290000915527344,161.94000244140625
2019-01-23,153.9199981689453,106.70999908447266,1640.02001953125,1084.4100341796875,144.3000030517578,137.00999450683594,128.8000030517578,149.2899932861328,321.989990234375,245.13999938964844,47.939998626708984,287.5899963378906,21.969999313354492,111.12000274658203,358.6099853515625,71.30000305175781,51.77000045776367,162.14999389648438
2019-01-24,152.6999969482422,106.19999694824219,1654.9300537109375,1084.0,145.8300018310547,137.6999969482422,127.02999877929688,157.83999633789062,326.6700134277344,242.55999755859375,49.7599983215332,291.510009765625,22.100000381469727,110.55000305175781,358.2699890136719,71.4000015258789,50.810001373291016,163.1999969482422
2019-01-25,157.75999450683594,107.16999816894531,1670.5699462890625,1101.510009765625,149.00999450683594,138.6699981689453,128.22999572753906,160.14999389648438,338.04998779296875,244.9499969482422,47.040000915527344,297.0400085449219,23.6299991607666,111.08999633789062,364.20001220703125,71.72000122070312,51.29999923706055,165.14999389648438
2019-01-28,156.3000030517578,105.08000183105469,1637.8900146484375,1079.8599853515625,147.47000122070312,135.99000549316406,128.99000549316406,138.00999450683594,335.6600036621094,241.85000610351562,46.709999084472656,296.3800048828125,23.719999313354492,110.80999755859375,362.9700012207031,71.23999786376953,50.63999938964844,163.11000061035156
