,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Time Weighted Rate of Return,12.94%,15.78%,19.69%,24.13%,28.94%
Portfolio End Balance,"$33,753","$43,301","$60,326","$86,872","$127,013"
Maximum Drawdown,-21.80%,-19.51%,-19.51%,-14.52%,-10.44%
Safe Withdrawal Rate,16.43%,18.28%,21.19%,25.55%,31.36%
