,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Time Weighted Rate of Return,11.89%,13.65%,15.75%,17.95%,20.03%
Portfolio End Balance,"$30,764","$35,963","$43,182","$52,100","$62,065"
Maximum Drawdown,-16.59%,-15.54%,-15.54%,-10.63%,-7.77%
Safe Withdrawal Rate,15.98%,17.28%,18.90%,20.79%,22.84%
