,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Time Weighted Rate of Return,12.96%,16.48%,21.15%,26.62%,32.10%
Portfolio End Balance,"$33,821","$45,989","$68,113","$105,927","$161,833"
Maximum Drawdown,-25.48%,-22.01%,-20.08%,-18.67%,-12.58%
Safe Withdrawal Rate,16.27%,18.59%,22.10%,27.51%,35.03%
