,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Time Weighted Rate of Return,19.78%,22.91%,27.24%,32.42%,37.44%
Portfolio End Balance,"$60,815","$78,660","$111,242","$165,775","$240,594"
Maximum Drawdown,-13.74%,-13.74%,-13.74%,-10.44%,-10.29%
Safe Withdrawal Rate,20.98%,23.26%,26.85%,32.52%,40.47%
