date,adjusted_close
2019-12-25,7204.63
2019-12-26,7202.0
2019-12-27,7254.74
2019-12-28,7316.14
2019-12-29,7388.24
2019-12-30,7246.0
2019-12-31,7195.23
2020-01-01,7200.85
2020-01-02,6965.71
2020-01-03,7344.96
2020-01-04,7354.11
2020-01-05,7358.75
2020-01-06,7758.0
2020-01-07,8145.28
2020-01-08,8055.98
2020-01-09,7817.76
2020-01-10,8197.02
2020-01-11,8020.01
2020-01-12,8184.98
2020-01-13,8110.34
2020-01-14,8810.01
2020-01-15,8821.41
2020-01-16,8720.01
2020-01-17,8913.28
2020-01-18,8915.96
2020-01-19,8701.7
2020-01-20,8642.35
2020-01-21,8736.03
2020-01-22,8682.36
2020-01-23,8404.52
2020-01-24,8439.0
2020-01-25,8340.58
2020-01-26,8615.0
2020-01-27,8907.57
2020-01-28,9374.21
2020-01-29,9301.53
2020-01-30,9513.21
2020-01-31,9352.89
2020-02-01,9384.61
2020-02-02,9331.51
2020-02-03,9292.24
2020-02-04,9197.02
2020-02-05,9612.04
2020-02-06,9772.0
2020-02-07,9813.73
2020-02-08,9895.05
2020-02-09,10151.75
2020-02-10,9851.83
2020-02-11,10223.08
2020-02-12,10326.46
2020-02-13,10229.63
2020-02-14,10344.36
2020-02-15,9904.72
2020-02-16,9917.27
2020-02-17,9706.0
2020-02-18,10164.71
2020-02-19,9593.79
2020-02-20,9596.42
2020-02-21,9677.05
2020-02-22,9650.86
2020-02-23,9936.4
2020-02-24,9656.13
2020-02-25,9315.84
2020-02-26,8785.25
2020-02-27,8823.21
2020-02-28,8692.91
2020-02-29,8523.61
2020-03-01,8531.88
2020-03-02,8915.24
2020-03-03,8760.07
2020-03-04,8750.87
2020-03-05,9054.68
2020-03-06,9131.88
2020-03-07,8886.66
2020-03-08,8033.31
2020-03-09,7929.87
2020-03-10,7894.56
2020-03-11,7934.52
2020-03-12,4800.0
2020-03-13,5578.6
2020-03-14,5172.06
2020-03-15,5361.3
2020-03-16,5028.97
2020-03-17,5312.64
2020-03-18,5393.04
2020-03-19,6162.37
2020-03-20,6208.36
2020-03-21,6186.98
2020-03-22,5816.19
2020-03-23,6467.31
2020-03-24,6744.72
2020-03-25,6677.43
2020-03-26,6737.36
2020-03-27,6359.11
2020-03-28,6236.65
2020-03-29,5881.42
2020-03-30,6394.38
2020-03-31,6410.44
2020-04-01,6642.92
2020-04-02,6794.09
2020-04-03,6734.1
2020-04-04,6856.99
2020-04-05,6772.78
2020-04-06,7329.9
2020-04-07,7197.32
2020-04-08,7361.28
2020-04-09,7283.54
2020-04-10,6858.92
2020-04-11,6876.83
2020-04-12,6903.79
2020-04-13,6837.91
2020-04-14,6868.7
2020-04-15,6621.24
2020-04-16,7101.94
2020-04-17,7027.55
2020-04-18,7248.6
2020-04-19,7120.74
2020-04-20,6826.83
2020-04-21,6841.37
2020-04-22,7125.14
2020-04-23,7482.39
2020-04-24,7505.0
2020-04-25,7538.67
2020-04-26,7693.1
2020-04-27,7774.62
2020-04-28,7738.98
2020-04-29,8778.57
2020-04-30,8620.0
2020-05-01,8826.96
2020-05-02,8972.05
2020-05-03,8894.16
2020-05-04,8871.96
2020-05-05,9021.83
2020-05-06,9142.92
2020-05-07,9986.4
2020-05-08,9800.01
2020-05-09,9539.4
2020-05-10,8722.77
2020-05-11,8561.52
2020-05-12,8810.79
2020-05-13,9309.37
2020-05-14,9791.98
2020-05-15,9316.42
2020-05-16,9381.27
2020-05-17,9680.04
2020-05-18,9733.93
2020-05-19,9775.53
2020-05-20,9511.43
2020-05-21,9068.65
2020-05-22,9170.0
2020-05-23,9179.15
2020-05-24,8720.34
2020-05-25,8900.35
2020-05-26,8841.18
2020-05-27,9204.07
2020-05-28,9575.89
2020-05-29,9427.07
2020-05-30,9697.72
2020-05-31,9448.27
2020-06-01,10200.77
2020-06-02,9518.04
2020-06-03,9666.24
2020-06-04,9789.06
2020-06-05,9621.16
2020-06-06,9666.3
2020-06-07,9746.99
2020-06-08,9782.01
2020-06-09,9772.43
2020-06-10,9885.0
2020-06-11,9280.4
2020-06-12,9465.13
2020-06-13,9473.34
2020-06-14,9342.1
2020-06-15,9426.02
2020-06-16,9525.59
2020-06-17,9465.14
2020-06-18,9386.32
2020-06-19,9310.23
2020-06-20,9358.95
2020-06-21,9294.69
2020-06-22,9685.69
2020-06-23,9624.89
2020-06-24,9296.49
2020-06-25,9249.49
2020-06-26,9162.21
2020-06-27,9012.0
2020-06-28,9116.35
2020-06-29,9192.56
2020-06-30,9138.55
2020-07-01,9232.0
2020-07-02,9086.54
2020-07-03,9058.26
2020-07-04,9135.46
2020-07-05,9069.41
2020-07-06,9344.2
2020-07-07,9257.39
2020-07-08,9436.06
2020-07-09,9232.43
2020-07-10,9288.34
2020-07-11,9234.03
2020-07-12,9302.75
2020-07-13,9242.62
2020-07-14,9255.85
2020-07-15,9197.6
2020-07-16,9133.72
2020-07-17,9154.32
2020-07-18,9170.28
2020-07-19,9208.99
2020-07-20,9160.78
2020-07-21,9390.0
2020-07-22,9518.16
2020-07-23,9603.27
2020-07-24,9537.8
2020-07-25,9700.42
2020-07-26,9931.54
2020-07-27,11029.96
2020-07-28,10906.27
2020-07-29,11100.53
2020-07-30,11099.61
2020-07-31,11335.46
2020-08-01,11801.17
2020-08-02,11071.35
2020-08-03,11219.81
2020-08-04,11191.97
2020-08-05,11744.91
2020-08-06,11762.46
2020-08-07,11594.23
2020-08-08,11761.41
2020-08-09,11681.68
2020-08-10,11892.92
2020-08-11,11392.08
2020-08-12,11564.33
2020-08-13,11780.0
2020-08-14,11760.54
2020-08-15,11852.4
2020-08-16,11911.0
2020-08-17,12281.13
2020-08-18,11945.01
2020-08-19,11754.59
2020-08-20,11853.55
2020-08-21,11531.34
2020-08-22,11662.96
2020-08-23,11648.13
2020-08-24,11748.2
2020-08-25,11318.42
2020-08-26,11461.43
2020-08-27,11330.38
2020-08-28,11526.91
2020-08-29,11465.84
2020-08-30,11711.16
2020-08-31,11649.51
2020-09-01,11921.97
2020-09-02,11388.54
2020-09-03,10140.85
2020-09-04,10446.25
2020-09-05,10166.69
2020-09-06,10256.2
2020-09-07,10373.44
2020-09-08,10126.65
2020-09-09,10219.2
2020-09-10,10336.87
2020-09-11,10387.89
2020-09-12,10440.92
2020-09-13,10332.83
2020-09-14,10671.77
2020-09-15,10785.31
2020-09-16,10954.01
2020-09-17,10939.99
2020-09-18,10933.39
2020-09-19,11080.65
2020-09-20,10920.28
2020-09-21,10417.22
2020-09-22,10529.61
2020-09-23,10241.46
2020-09-24,10736.32
2020-09-25,10686.67
2020-09-26,10728.6
2020-09-27,10774.25
2020-09-28,10696.12
2020-09-29,10840.48
2020-09-30,10776.59
2020-10-01,10619.13
2020-10-02,10570.4
2020-10-03,10542.06
2020-10-04,10666.63
2020-10-05,10792.21
2020-10-06,10599.66
2020-10-07,10666.39
2020-10-08,10925.57
2020-10-09,11050.64
