Date,Elastic
2008-01-03,-0.0042
2008-01-04,-0.0415
2008-01-07,-0.0026
2008-01-08,-0.0261
2008-01-09,0.0118
2008-01-10,0.0024
2008-01-11,-0.0335
2008-01-14,0.025
2008-01-15,-0.0273
2008-01-16,-0.01
2008-01-17,-0.0081
2008-01-18,0.0011
2008-01-22,-0.0187
2008-01-23,-0.0106
2008-01-24,0.0218
2008-01-25,-0.0254
2008-01-28,0.004
2008-01-29,-0.0097
2008-01-30,0.0026
2008-01-31,0.0174
2008-02-04,-0.0045
2008-02-05,-0.0276
2008-02-06,-0.0175
2008-02-07,0.0045
2008-02-08,0.0042
2008-02-11,0.0132
2008-02-12,-0.0085
2008-02-13,0.0234
2008-02-14,-0.013
2008-02-15,-0.0021
2008-02-19,-0.0053
2008-02-20,0.0117
2008-02-21,-0.0167
2008-02-22,0.0099
2008-02-25,0.0029
2008-02-26,0.0033
2008-02-27,0.0038
2008-02-28,0.0022
2008-02-29,-0.0201
2008-03-04,0.0043
2008-03-05,0.0029
2008-03-06,-0.0216
2008-03-07,-0.0033
2008-03-10,-0.0177
2008-03-11,0.0259
2008-03-12,0.0066
2008-03-13,0.0107
2008-03-14,-0.0201
2008-03-17,-0.0238
2008-03-18,0.0253
2008-03-19,-0.0289
2008-03-20,0.0207
2008-03-24,0.0262
2008-03-25,0.0055
2008-03-26,-0.0027
2008-03-27,-0.0068
2008-03-28,0.0008
2008-03-31,0.0061
2008-04-02,-0.0026
2008-04-03,0.0019
2008-04-04,0.0048
2008-04-07,-0.0029
2008-04-08,-0.0031
2008-04-09,-0.0089
2008-04-10,0.0129
2008-04-11,-0.0147
2008-04-14,-0.0016
2008-04-15,0.0074
2008-04-16,0.0235
2008-04-17,-0.005
2008-04-18,0.0202
2008-04-21,0.0059
2008-04-22,-0.0129
2008-04-23,0.0062
2008-04-24,0.0003
2008-04-25,0.0111
2008-04-28,0.0015
2008-04-29,-0.0003
2008-04-30,-0.0045
2008-05-02,-0.0049
2008-05-05,0.0042
2008-05-06,0.001
2008-05-07,-0.0178
2008-05-08,0.0028
2008-05-09,0.0127
2008-05-12,0.0137
2008-05-13,0.0047
2008-05-14,-0.0031
2008-05-15,0.0136
2008-05-16,-0.0016
2008-05-19,0.0052
2008-05-20,-0.0056
2008-05-21,-0.0206
2008-05-22,0.0068
2008-05-23,-0.0046
2008-05-27,0.0209
2008-05-28,0.0003
2008-05-29,0.008
2008-05-30,0.0002
2008-06-03,-0.0006
2008-06-04,0.0155
2008-06-05,0.014
2008-06-06,-0.0325
2008-06-09,-0.0034
2008-06-10,-0.0045
2008-06-11,-0.0271
2008-06-12,0.0018
2008-06-13,0.0242
2008-06-16,0.0063
2008-06-17,-0.0058
2008-06-18,-0.0092
2008-06-19,0.0247
2008-06-20,-0.0287
2008-06-23,-0.0044
2008-06-24,-0.0098
2008-06-25,0.0133
2008-06-26,-0.0426
2008-06-27,-0.0042
2008-06-30,-0.0092
2008-07-02,-0.015
2008-07-03,-0.0007
2008-07-07,0.0005
2008-07-08,0.0344
2008-07-09,-0.0177
2008-07-10,0.007
2008-07-11,-0.0165
2008-07-14,-0.0061
2008-07-15,0.0069
2008-07-16,0.0119
2008-07-17,-0.0033
2008-07-18,-0.0108
2008-07-21,0.0012
2008-07-22,0.0182
2008-07-23,-0.0095
2008-07-24,0.0061
2008-07-25,0.0042
2008-07-28,-0.0147
2008-07-29,0.0163
2008-07-30,0.0081
2008-07-31,-0.0016
2008-08-04,-0.009
2008-08-05,0.032
2008-08-06,0.0126
2008-08-07,-0.0212
2008-08-08,0.0207
2008-08-11,0.0056
2008-08-12,0.0073
2008-08-13,-0.0006
2008-08-14,0.0074
2008-08-15,-0.0024
2008-08-18,-0.0139
2008-08-19,-0.0105
2008-08-20,0.0045
2008-08-21,-0.002
2008-08-22,0.0119
2008-08-25,-0.018
2008-08-26,-0.0024
2008-08-27,0.0048
2008-08-28,0.0053
2008-08-29,-0.0193
2008-09-03,-0.0149
2008-09-04,-0.0308
2008-09-05,0.0051
2008-09-08,0.0046
2008-09-09,-0.0266
2008-09-10,0.0052
2008-09-11,0.0092
2008-09-12,-0.0053
2008-09-15,-0.028
2008-09-16,0.0018
2008-09-17,-0.0518
2008-09-18,0.0397
2008-09-19,0.0069
2008-09-22,-0.04
2008-09-23,-0.0065
2008-09-24,0.0044
2008-09-25,0.0188
2008-09-26,0.0083
2008-09-29,-0.0905
2008-09-30,0.0678
2008-10-02,-0.0283
2008-10-03,0.0018
2008-10-06,-0.0456
2008-10-07,-0.0474
2008-10-08,0.0009
2008-10-09,-0.0391
2008-10-10,-0.0158
2008-10-13,0.1098
2008-10-14,-0.0323
2008-10-15,-0.0855
2008-10-16,0.0745
2008-10-17,0.0021
2008-10-20,0.0368
2008-10-21,-0.0327
2008-10-22,-0.0285
2008-10-23,0.0047
2008-10-24,-0.024
2008-10-27,-0.0315
2008-10-28,0.1009
2008-10-29,-0.0108
2008-10-30,0.0324
2008-10-31,-0.004
2008-11-04,0.0233
2008-11-05,-0.0514
2008-11-06,-0.0379
2008-11-07,0.0371
2008-11-10,-0.0013
2008-11-11,-0.0175
2008-11-12,-0.0462
2008-11-13,0.0722
2008-11-14,-0.0477
2008-11-17,-0.0272
2008-11-18,0.0081
2008-11-19,-0.0522
2008-11-20,-0.0367
2008-11-21,0.062
2008-11-24,0.0471
2008-11-25,-0.0109
2008-11-26,0.0299
2008-11-28,-0.0008
2008-12-02,0.0167
2008-12-03,0.027
2008-12-04,-0.0265
2008-12-05,0.0392
2008-12-08,0.0187
2008-12-09,-0.0159
2008-12-10,0.0106
2008-12-11,-0.0283
2008-12-12,0.0137
2008-12-15,-0.0085
2008-12-16,0.0421
2008-12-17,-0.0094
2008-12-18,-0.012
2008-12-19,0.0144
2008-12-22,-0.0112
2008-12-23,-0.0098
2008-12-24,0.0017
2008-12-26,-0.001
2008-12-29,-0.0052
2008-12-30,0.0256
2008-12-31,0.0095
2009-01-05,-0.0123
2009-01-06,0.0073
2009-01-07,-0.0278
2009-01-08,0.0129
2009-01-09,-0.0233
2009-01-12,-0.022
2009-01-13,0.0073
2009-01-14,-0.0338
2009-01-15,0.0289
2009-01-16,0.0223
2009-01-20,-0.0562
2009-01-21,0.0372
2009-01-22,-0.0119
2009-01-23,-0.0035
2009-01-26,0.0086
2009-01-27,0.0004
2009-01-28,0.0427
