Date,BABA,TSM,NVS,JD,SAP,ASML,ACN,UN,AZN,BHP,LIN,SHOP,GSK,RIO,RY,TD,BP,NTES,ENB,TAK,SPOT,MELI,TAL,AON,UBS,INFY,BIDU,VOD,LULU,ETN,NXPI,INFO,ZTO,TEL,CS,JCI,MRVL,EDU,TT,LBTYA,STX,QGEN,LBTYK,CRSP,ALV,SU
2020-04-01,-1.2499518990987641,-2.1807291471965478,-1.2486202024189657,-0.12835522024642612,-1.8193826034638292,-2.1909534656306486,-2.476276325156114,-2.268508274704703,-1.2596896662133863,-1.980641859985055,-2.59960896702308,-1.563409479657936,-2.117141668026403,-1.2841538627615292,-2.9623501477410548,-2.7416872865221134,-2.0931723873376322,-0.2318037519744166,-2.81205663100552,-1.6484370452017205,-1.1997837379305794,-2.001726464164396,-1.02190485479609,-3.377277610917603,-1.939616990213041,-2.216893542606204,-0.9245885283718489,-2.050806565793887,-2.3470179707340244,-2.4160682922243764,-3.313818873397843,-2.575187661071296,0.6398535334436468,-3.0573846804739517,-2.658170210189446,-3.4623249942951277,-0.82294372261852,-2.8060060756747127,-2.8940634130467746,-1.9831606197714822,-1.1174942713536782,0.48769912300366375,-2.064290190887215,-1.6431982900408257,-2.6014943815561016,-2.6583414927453806
2020-04-02,-1.406000581367327,-2.171459932917055,-1.191929546580224,-0.917851856695384,-1.965906506285907,-2.5776063958458577,-2.5332976864684644,-2.204431124608974,-1.7567529835989353,-1.7765920189664453,-2.599978105985027,-2.2198545054201,-2.282827511139034,-1.2525052371087537,-2.8809575923482966,-2.72828593312855,-1.8222778547250131,-0.5930270978918293,-2.7823474369610888,-1.932490769427649,-1.4098906077595332,-2.060363522656635,-1.176402148885621,-3.3175808899239154,-1.9934025403444866,-2.157142987985648,-1.0679969483614735,-2.2127105088380103,-2.3389545533411287,-2.596260190811928,-3.1743854714467084,-2.4219896628835462,0.634267261319555,-3.128578822713785,-2.5882026339770006,-3.3794643101961057,-0.8353467871498151,-2.713912480669654,-3.132193086418166,-1.9520635611830865,-1.3184022920809422,0.4500817704333657,-2.072876456147114,-1.5917780780089563,-2.7200081031691146,-2.3754317554449225
2020-04-03,-1.425063797198929,-2.102883535506285,-1.0121516201212357,-1.0622273529815343,-1.7060819536174392,-2.364254581891803,-2.5461426536135807,-2.3036877338844386,-1.6300513696449492,-1.7322497531041234,-2.343226730486962,-1.9799495011074117,-2.255773081047418,-1.150430263194143,-2.8871513900519856,-2.7327418932726433,-2.1094723169011496,-0.7798516139425884,-2.5894377642202517,-1.8204817507477755,-1.5031578170843372,-1.995910057334907,-1.2065375812974675,-3.2250015898494016,-1.8458762529647665,-2.3286869532205223,-1.039215449266569,-2.1629910470161073,-2.2885176178496534,-2.58308747912258,-3.0762059727085935,-2.1117071628459336,0.4029823191089638,-2.8873756675953777,-2.434780781274638,-3.3360546840694916,-1.2539815018091072,-2.766738375166253,-3.1020358674144433,-1.9945001727837013,-1.419619213847909,0.47565753220834306,-2.1112489355617132,-1.594814659342036,-2.629998913204993,-2.4135095462058693
2020-04-06,-0.8291515400179139,-1.4940658871463228,-0.7183755055189683,-0.36657846947227357,-1.2087547352816703,-1.405509187892524,-1.5976107008294065,-1.7899457085884334,-1.382992055334404,-1.168760205015566,-1.3236972379641812,-1.4506196505758535,-1.949796394399479,-0.574896668478545,-2.29096069421408,-2.0698373543307214,-1.91613508444853,-0.31246641786021595,-2.368004055630895,-1.38111429386233,-1.4663135125297138,-1.3849925876342617,-0.6429633771917054,-2.2180017406048487,-1.225217080538417,-1.486406050396455,-0.6524802654030138,-1.7388754208939816,-1.7332014097701753,-1.894333563999614,-2.221658439701447,-1.5349282939569762,0.7725150785160493,-2.001251839701833,-1.9858152107413605,-2.7915553408314855,-0.5508221274568406,-2.2456518130645433,-2.352871668864693,-1.234740590048863,-0.7981233312061591,0.4819313041269836,-1.2781802151601096,-1.2804939869840335,-1.8961529941311657,-2.195245060494723
2020-04-07,-0.5756687573824159,-1.246072105713629,-0.5300184346203114,0.02327109776721238,-0.7457052840166468,-0.9036165924808709,-1.0969857998877157,-1.3922062091634562,-1.367546453253148,-0.3711503608377077,-0.5373423302690314,-1.2655584806093034,-1.720727115703967,-0.132910042536714,-1.58636461115321,-0.9544405740282557,-1.0620900687084407,-0.42844111050740785,-1.638184459506347,-1.023169613121658,-1.025846269776658,-0.7408807342954404,-0.24079501294025096,-1.12726829538314,-0.6949743755354738,-0.9749824811737102,-0.4921572757108079,-1.3415120403373118,-1.3018862651885388,-1.4904919765482227,-2.0917594542466893,-0.946009345955716,0.5902042603126673,-1.8459434869624232,-1.4485422645615686,-2.261900934095284,-0.21841772923471126,-1.8468228448578254,-1.8926988981219615,-0.604432089482131,-0.28751567840959547,0.5606967546227217,-0.7359945059274228,-1.0536407038711089,-1.408840375652624,-1.7584853213889966
2020-04-08,-0.9064815690868795,-1.4372589168350545,-0.5989586623640819,-0.43522307329123333,-0.8392169093154659,-1.054217165754792,-1.0257555207312763,-1.3014453235645618,-1.397243562671279,-0.6180627409836879,-0.28302156041703375,-1.0531341757560317,-1.5991498066473393,-0.6026645767181004,-1.5641780499676474,-1.2059163492912015,-1.1037029086925083,-0.5727545935300472,-1.727550014596509,-1.0268279801090276,-1.210295771400598,-0.9707363948838212,-0.7920420999589157,-0.6093741220212752,-1.0884918221298987,-0.9211757119338462,-0.8915357974926363,-1.5323878077529307,-1.3878833072355592,-1.389734500170523,-1.7598706089371925,-0.890061913463843,0.35087163356918527,-1.68634100335805,-1.663784679530833,-2.210367545685811,-0.11956019276399982,-2.1758081204351494,-1.9733729376411508,-0.11817704305404575,-0.28873938809791366,0.37801551248445786,-0.15364806041063603,-0.8481076827875151,-1.2229154917201157,-1.6826372545871804
2020-04-09,-0.7363472045421093,-1.5500140336469768,-0.4654245415795241,-0.2239158269793354,-0.14170645899904927,-0.7699892380564025,-0.31806178340170876,-0.8420966489076073,-0.8190774783803569,-0.22544862090132445,-0.0703961603899631,-0.8560276503592292,-1.1247776186125562,0.12552040624620453,-1.115293822042984,-0.8405437803311733,-0.856689622148165,-0.5877043753058201,-1.453969383793092,-0.8280890934534707,-0.6663082836130337,-0.7878286936290867,-1.0308696286281118,-0.47343224597159345,-0.4583168567322228,-0.8557173952803342,-0.7255507793331198,-1.0787059512023676,-0.8056115155092716,-0.9821330459256936,-1.637781203190999,-0.614147678808874,0.2110239526589936,-1.12037792597293,-1.1620783067985103,-1.6300040006149552,-0.007786694432176444,-1.9168199263893377,-1.5645718597776317,0.5201438578345866,0.02233250010203003,0.3508802807116868,0.28690769358045143,-0.6324452072350308,-0.800011032649564,-1.5683208505161077
2020-04-13,-0.19880761424533544,-1.047869006578469,0.32434589108952616,0.40345339288892396,0.5835867346554918,-0.2245585969211945,-0.11648363439532805,-0.12204979287829232,0.6681150050872029,0.5369899265094508,0.3950441993195162,-0.057221811136539236,-0.36589098715141755,0.7297634906047826,-0.5458729813991171,-0.2835855636278217,-0.15700012425283583,0.2824539561816082,-0.5256587440596266,0.24732886948111377,-0.4674192222046788,-0.3442863595353926,-0.6387140414618094,-0.3819543286761693,0.0032455633448759125,-0.4051872373620632,-0.4765789875642804,-0.5286472648631918,-0.25073235879460964,-0.7548276273783817,-1.3423064984528696,-0.038284697591579375,0.7750812578899178,-0.965859674278921,-0.6067024670038532,-1.2254555260582274,0.6606047828059411,-1.2510122353804016,-1.2204238735358146,0.7965943897156469,0.09125944546558484,0.44880755293080365,0.5900127705833216,-0.2075180866373223,-0.4249865306938424,-0.7598636285735664
2020-04-14,-0.3285086648462711,-1.1675272858741832,0.05087211122532809,0.30574037918022356,0.2036789039974487,-0.15264857131449017,-0.4149783761211606,0.051186280405323914,0.7385232363430263,0.0906392268800934,-0.2089071965645956,0.3887546307874006,-0.20536343174238825,-0.017268388453208106,-1.2603267505750986,-1.1888490749929543,-0.4411718417792856,-0.19836721017935294,-1.2038550009201276,0.38661890296543255,-0.18378710467426923,-0.4701958326253407,-0.7532605970791707,-0.11305019597795168,-0.33320997798980767,-0.5137435226601306,-0.35787262181216756,-0.6413960481624794,-0.365808282800971,-1.190862269102701,-1.29833832891714,-0.13215758387728105,0.6257113445538881,-1.0355724777102138,-0.799209609233566,-1.2108090527827755,0.5598667508013693,-1.5215656213391413,-1.347738753782311,0.5204222028188854,-0.41055204433735,0.3749747227025852,0.38837101893729886,0.0805249931756078,-0.657432315551025,-1.0753381262680413
2020-04-15,0.3959776930948173,-0.4302905373450784,0.6151388949143373,1.2782222534404524,0.5195231012262729,0.32934138667907664,-0.3009635447495864,0.8158342654707077,1.4320761318707174,0.1228137946166189,0.05472146028760316,1.271796996489548,0.6478715843685516,0.11636022737305685,-1.1258911077992608,-1.025576628621939,-0.08902012070092002,0.850782848179656,-0.8747733054909855,1.001275308963365,0.5652152885402186,0.5876986042505816,-0.38200869708038454,-0.39947245465601117,0.14884239533099408,-0.14712023288893916,0.11080089106015523,-0.1569970057535126,1.209869431934425,-0.962536213209923,-0.9238572200762125,0.23361810345865663,0.45687780199454886,-0.8850123570297042,-0.3914280369006068,-1.2749865892397623,1.3381316404108745,-1.4735366581502818,-1.2793861020814368,0.9076067711124218,0.45382442559287306,0.4648358251497453,0.9345045146901488,0.3992732385717146,-0.12061036127244695,-0.7582317859511019
