Date,UNP,LLY,CHTR,LMT,BA,NOW,AMD,RTX,CAT,FIS,SQ,BKNG,ANSS,ALXN,TDOC,AME,HPQ,VRSN,ANET,DDD,SSYS,SYRS,XONE
2019-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,52.429810651991374,50.792556857339775,97.16007882230203,53.516007269677054,57.958838087794675,54.72663746862851,54.64968152866245,44.65683597305657,59.99671430918356,55.023785498053876,56.99892047499099,50.54578609237415,55.2201467645097,100.0,64.42255062944716,58.69191049913943,55.38559592096876,57.58122743682315,22.378960799603036,44.092827004219494,42.45614035087722,77.95275590551185,43.502824858757144
2019-01-07,56.63855257788059,55.40398740818473,89.21434539426426,63.02350926358387,59.59855168162033,68.62573917076466,69.44048620529816,44.36366266977731,60.312286077517356,59.54042067588242,66.31288144671373,47.75083083239553,67.29717549906823,100.0,77.6783159147884,57.057999205203856,62.106858658582816,65.82563804260894,52.6414808727807,66.90395903584366,56.7715746744688,85.06666666666669,68.3694448837577
2019-01-08,81.6985864849444,62.086052977572415,84.65700379653615,67.34896687712255,73.3733839438411,70.5506138916596,70.6477933076969,56.91341926465835,65.99290250228002,64.28681805850775,72.50313510279685,37.76804379283942,69.1241433674693,100.0,82.16254042014077,66.4092537752982,68.08549440128392,76.99709282407183,62.14302951184212,68.72362900322798,62.77853683336128,76.39035230559975,72.92834131947264
2019-01-09,80.05816504352205,66.603762624035,68.9960389013528,68.84930309332974,75.7862664429725,73.48345234843806,62.23373719672481,59.17382570171109,67.64676377952239,59.40830019720364,77.76529181589234,28.065977928233963,74.65097771462182,100.0,84.7902683300861,69.74321746124807,68.08549440128392,71.07103941654907,66.65022730991866,73.71907776772827,67.5264501024105,80.71717585797927,80.04625278604195
2019-01-10,83.96341848964167,55.906787050200435,51.89886938758844,79.57427669304006,80.86191864219869,71.91451008292262,56.30612707701521,64.35450791202936,74.8773036139092,65.96096885247903,78.04490090595878,40.55900989935462,77.9383205234677,100.0,85.65520808121134,76.45040867390256,73.20156260922757,74.62861391933336,68.2244170770038,74.13223659222578,69.83512171822674,75.04408064025996,81.53011030679872
2019-01-11,78.27734552513454,57.33131731592779,56.373230366417054,79.82675008510368,81.00657236314694,74.1016243262296,61.105632665958446,60.738777167275195,69.42118418069467,62.99137174109503,78.2747127961005,37.606786546427315,80.9234233620159,100.0,84.77140578677134,75.6814748343692,60.825689745664,74.90087496104576,68.45147808979755,74.57196240669029,73.91498953622073,72.25114122351076,85.54922556240554
2019-01-14,79.01060198022785,46.91165995234954,48.469820756949865,78.80189522956096,75.50796885329103,63.51060849745107,60.55343879882095,64.99143953744806,67.53291182168846,63.768883570712994,71.61466017614003,47.52020698211097,74.9560974300162,69.3613649099643,87.67425953265386,70.386089164874,49.229054244561425,70.35750158024744,59.966975616250345,64.86824962837781,58.074628502111864,54.42596339437602,68.25132123480275
2019-01-15,73.36228893180464,59.818189659095495,54.24713641579016,71.83854273891627,76.790631060476,63.35922221716874,61.971023205186945,65.91760455929003,60.80184662593842,69.46789354653828,73.45991550284731,49.30283003453734,78.78656149314946,78.02085954235713,90.26803760981785,65.4935506535261,54.726046829500355,76.23896851399573,71.26833899318737,74.12683465187105,79.0569636044971,58.63555807684494,68.63883732842662
2019-01-16,71.3333464513352,57.95326251759646,53.7311396778991,58.29237605707996,76.36940595367588,65.59634196986738,52.90794986733089,64.19322101921112,64.22905258961319,59.304433432377536,73.05805087238772,43.939120669924584,80.05785467428719,77.84590519064496,91.39183397294333,68.4203531894369,55.685634001553886,77.88950425064857,66.68260216345162,62.756433484401576,74.24816713718997,66.25484579704133,56.50119379473159
2019-01-17,75.27177973570106,67.12746780288998,55.211036656771135,69.51866843909525,80.87609921263514,56.270321369476555,58.27752104729215,72.19444896599057,72.17468010128846,62.44280067293366,79.19318138584246,56.756821232129106,81.53835340529858,82.13504519500006,93.40512133342806,74.1487273435103,59.893448070285274,80.18614151758584,66.0726158435122,64.43660738092746,74.48100366511117,71.45941988674622,62.43772084513648
2019-01-18,79.55374725088973,53.21805099571958,46.92811227702192,74.34223978761088,83.63108692742776,63.00190661737668,62.92736279573972,75.72484330038805,76.31422644902048,70.09921998777314,83.86668580543102,64.10237597331204,85.05495379337239,84.82455827743802,86.33765985866923,79.1073878322676,69.19008754129145,81.3973229386489,77.81758800813455,66.79087104494657,76.99753696327458,72.74390082430985,73.46782834033263
2019-01-22,67.94153632943586,55.204478936129576,34.696564161841835,65.19627224023483,70.1661293571306,52.11901153770065,50.825315029832204,56.00491870475432,56.681995014889914,65.58763087464612,63.582666964301545,50.55301763008083,81.63400653030878,71.39569483605925,73.55528531085623,61.17397197244144,57.14186751613317,74.65496335317148,59.25557337333721,50.031839949642,62.42773186862629,76.47129672643779,60.450320624733735
2019-01-23,65.7475322858403,61.34337207311228,34.028941345818495,70.04154601101338,70.70545898179323,48.46870310205527,51.23388719207645,72.56001569989323,55.177867833470394,68.0738971188634,66.14713961693705,57.38023809092555,70.60849527781323,75.57254393651588,71.6514173320202,60.40641249397626,59.31658043846171,74.6886315245293,58.08198542600995,48.29322228709101,67.06264130181438,36.7435699730864,59.963355329786815
