date,Close
2019-01-02,137.78
2019-01-03,132.68
2019-01-04,137.79
2019-01-07,138.65
2019-01-08,150.75
2019-01-09,150.36
2019-01-10,154.66
2019-01-11,153.21
2019-01-14,153.89
2019-01-15,152.48
2019-01-16,151.97
2019-01-17,154.64
2019-01-18,158.34
2019-01-22,155.02
2019-01-23,154.33
2019-01-24,160.34
2019-01-25,160.95
2019-01-28,159.9
2019-01-29,160.17
2019-01-30,160.82
2019-01-31,159.07
2019-02-01,159.67
2019-02-04,161.13
2019-02-05,161.3
2019-02-06,160.74
2019-02-07,161.57
2019-02-08,161.72
2019-02-11,164.35
2019-02-12,167.05
2019-02-13,168.88
2019-02-14,169.63
2019-02-15,170.24
2019-02-19,171.33
2019-02-20,170.99
2019-02-21,170.17
2019-02-22,170.06
2019-02-25,169.55
2019-02-26,170.15
2019-02-27,169.06
2019-02-28,167.7
2019-03-01,167.44
2019-03-04,167.37
2019-03-05,166.78
2019-03-06,165.91
2019-03-07,164.94
2019-03-08,164.3
2019-03-11,165.6
2019-03-12,164.83
2019-03-13,166.83
2019-03-14,165.17
2019-03-15,165.0
2019-03-18,166.24
2019-03-19,160.75
2019-03-20,161.0
2019-03-21,162.61
2019-03-22,160.62
2019-03-25,161.5
2019-03-26,161.81
2019-03-27,163.01
2019-03-28,165.2
2019-03-29,167.2
2019-04-01,170.92
2019-04-02,169.78
2019-04-03,169.61
2019-04-04,168.79
2019-04-05,168.72
2019-04-08,168.69
2019-04-09,166.09
2019-04-10,166.35
2019-04-11,166.67
2019-04-12,169.5
2019-04-15,167.63
2019-04-16,167.98
2019-04-17,169.28
2019-04-18,176.66
2019-04-22,177.72
2019-04-23,176.73
2019-04-24,176.84
2019-04-25,175.49
2019-04-26,177.22
2019-04-29,176.41
2019-04-30,177.04
2019-05-01,175.36
2019-05-02,175.89
2019-05-03,179.2
2019-05-06,177.16
2019-05-07,174.75
2019-05-08,175.58
2019-05-09,175.63
2019-05-10,175.92
2019-05-13,171.79
2019-05-14,174.49
2019-05-15,173.77
2019-05-16,175.63
2019-05-17,174.62
2019-05-20,174.74
2019-05-21,175.04
2019-05-22,174.46
2019-05-23,172.65
2019-05-24,172.17
2019-05-28,169.81
2019-05-29,169.0
2019-05-30,169.48
2019-05-31,166.78
2019-06-03,166.34
2019-06-04,170.41
2019-06-05,172.48
