Date,BABA,TSM,NVS,JD,SAP,ASML,ACN,UN,AZN,BHP,LIN,SHOP,GSK,RIO,RY,TD,BP,NTES,ENB,TAK,SPOT,MELI,TAL,AON,UBS,INFY,BIDU,VOD,LULU,ETN,NXPI,INFO,ZTO,TEL,CS,JCI,MRVL,EDU,TT,LBTYA,STX,QGEN,LBTYK,CRSP,ALV,SU
2019-01-24,155.86,37.64,77.42,22.1,105.4,168.9,150.15,53.17,35.79,46.62,157.37,158.41,38.37,49.87,74.08,54.42,40.11,48.08,35.6,20.2,132.7,339.15,29.81,153.91,13.07,10.43,162.7,18.56,148.43,70.16,84.25,51.01,17.29,78.76,12.31,32.27,17.5,73.98,72.85,22.72,40.97,36.85,22.02,32.29,78.31,31.69
2019-01-25,159.21,38.14,77.02,23.63,106.01,176.66,151.85,53.13,35.75,48.21,158.84,162.82,38.42,52.26,74.89,55.06,40.11,48.52,36.09,20.56,134.67,342.88,30.6,154.39,13.1,10.55,167.1,17.97,151.89,71.07,85.24,51.52,17.43,80.15,12.48,32.71,18.57,77.49,73.29,23.15,43.66,37.16,22.35,33.2,80.97,32.02
2019-01-28,158.92,37.44,76.75,23.72,106.94,174.15,152.24,53.13,35.49,48.21,158.21,159.44,38.44,52.69,75.0,55.21,39.57,48.25,36.06,20.57,133.25,355.0,29.93,153.67,13.04,10.52,167.5,17.86,149.7,69.11,85.66,50.78,17.25,79.85,12.35,32.69,18.36,75.78,73.27,23.43,43.26,37.16,22.62,31.17,82.38,31.83
2019-01-29,156.88,36.33,77.59,23.52,102.69,174.61,152.02,53.81,35.55,49.11,161.22,157.11,38.72,54.41,75.21,55.65,40.2,47.62,36.45,20.2,132.46,351.23,30.54,152.4,13.01,10.48,165.27,17.76,148.95,71.11,85.74,50.6,17.19,78.75,12.34,32.82,18.13,75.09,75.06,23.53,42.77,37.11,22.7,30.97,77.61,32.04
2019-01-30,166.82,37.38,76.77,24.64,102.52,177.19,154.09,53.85,35.95,50.73,162.92,162.43,38.71,55.16,76.08,56.08,40.67,48.61,36.54,20.38,136.47,362.02,30.21,154.5,13.2,10.59,169.34,17.97,148.61,72.88,87.72,51.43,17.27,80.27,12.42,33.09,18.37,75.58,78.01,23.77,43.74,37.39,22.96,32.24,79.25,32.26
2019-01-31,168.49,37.62,78.42,24.85,103.42,175.03,153.55,53.51,36.58,51.19,163.01,168.47,39.2,56.27,76.18,56.31,41.12,50.39,36.62,19.97,135.45,364.0,31.03,156.23,12.96,10.8,172.63,18.24,147.81,76.25,87.03,51.92,17.12,80.95,12.11,33.77,18.53,77.04,77.61,24.4,44.28,37.03,23.56,32.43,79.85,32.32
2019-02-01,167.97,37.57,78.55,24.63,103.95,178.41,154.74,54.02,36.65,51.09,165.76,170.59,39.2,55.97,76.54,56.38,41.34,49.96,37.0,20.25,137.21,364.66,31.06,167.46,12.87,10.9,171.27,18.21,146.12,76.48,88.4,51.77,17.37,81.37,12.01,33.25,18.41,75.7,78.42,24.74,45.26,36.8,23.9,31.92,78.52,32.4
2019-02-04,166.7,37.94,79.19,24.29,104.21,179.56,156.55,54.62,36.76,51.12,163.5,173.55,39.14,56.74,76.73,56.61,41.39,50.33,37.44,20.23,138.6,368.08,31.26,166.8,12.83,10.87,173.94,18.05,146.64,77.1,88.7,52.23,17.45,80.97,11.98,33.82,18.57,76.79,78.11,25.85,45.56,36.86,24.88,32.58,77.5,33.09
2019-02-05,171.83,38.25,79.7,25.42,106.27,181.61,157.32,55.61,37.0,51.15,164.99,173.57,39.45,56.23,77.1,56.77,42.82,51.35,37.63,19.68,139.4,363.25,31.7,168.75,13.02,10.84,176.23,18.25,146.89,77.15,90.24,52.21,17.61,81.75,12.14,34.04,18.66,78.66,78.58,25.99,45.14,36.45,25.01,32.44,77.42,33.14
2019-02-06,171.52,38.74,79.75,25.11,105.27,186.86,157.16,54.94,36.87,51.01,163.42,173.6,40.68,56.64,76.82,56.61,43.04,48.63,37.44,20.12,135.45,358.92,31.84,168.35,12.99,10.9,173.85,18.39,145.76,76.94,92.45,52.28,17.84,82.99,12.12,34.12,19.04,78.63,78.24,25.34,45.23,37.33,24.38,32.63,77.97,33.19
