Final_Weight
7.0
7.0
5.22
5.11
4.36
4.31
4.05
3.85
3.55
3.45
3.28
2.8
2.63
2.5
2.12
2.0
2.0
1.97
1.88
1.87
1.72
1.7
1.64
1.59
1.57
1.55
1.52
1.48
1.47
1.45
1.44
1.34
1.25
1.17
1.14
1.13
1.02
0.91
0.72
0.65
0.64
0.52
0.49
0.49
0.4
0.39
