date,Close
2019-01-02,191.9
2019-01-03,188.98
2019-01-04,195.44
2019-01-07,198.07
2019-01-08,200.61
2019-01-09,200.37
2019-01-10,202.68
2019-01-11,200.56
2019-01-14,196.78
2019-01-15,199.38
2019-01-16,198.89
2019-01-17,201.92
2019-01-18,203.88
2019-01-22,201.98
2019-01-23,201.56
2019-01-24,200.97
2019-01-25,198.77
2019-01-28,191.95
2019-01-29,192.11
2019-01-30,184.86
2019-01-31,187.11
2019-02-01,187.07
2019-02-04,186.18
2019-02-05,188.31
2019-02-06,190.76
2019-02-07,184.23
2019-02-08,186.0
2019-02-11,185.79
2019-02-12,188.43
2019-02-13,188.98
2019-02-14,186.68
2019-02-15,188.34
2019-02-19,186.97
2019-02-20,186.92
2019-02-21,185.5
2019-02-22,187.5
2019-02-25,189.81
2019-02-26,190.08
2019-02-27,191.42
2019-02-28,190.08
2019-03-01,191.16
2019-03-04,189.78
2019-03-05,188.82
2019-03-06,183.15
2019-03-07,181.46
2019-03-08,180.87
2019-03-11,184.14
2019-03-12,184.18
2019-03-13,187.35
2019-03-14,187.76
2019-03-15,191.24
2019-03-18,191.31
2019-03-19,191.49
2019-03-20,191.12
2019-03-21,191.89
2019-03-22,186.7
2019-03-25,186.59
2019-03-26,188.27
2019-03-27,186.32
2019-03-28,187.65
2019-03-29,189.98
2019-04-01,191.77
2019-04-02,192.43
2019-04-03,192.92
2019-04-04,192.33
2019-04-05,195.41
2019-04-08,194.88
2019-04-09,192.98
2019-04-10,193.89
2019-04-11,192.11
2019-04-12,191.42
2019-04-15,191.2
2019-04-16,188.05
2019-04-17,182.47
2019-04-18,177.47
2019-04-22,176.36
2019-04-23,179.76
2019-04-24,178.3
2019-04-25,180.48
2019-04-26,181.47
2019-04-29,181.17
2019-04-30,179.32
2019-05-01,176.14
2019-05-02,176.5
2019-05-03,177.31
2019-05-06,177.06
2019-05-07,173.87
2019-05-08,172.15
2019-05-09,172.87
2019-05-10,171.85
2019-05-13,167.6
2019-05-14,167.81
2019-05-15,169.87
2019-05-16,169.92
2019-05-17,169.91
2019-05-20,168.39
2019-05-21,169.69
2019-05-22,171.3
2019-05-23,172.11
2019-05-24,171.28
2019-05-28,168.85
2019-05-29,169.18
2019-05-30,169.04
2019-05-31,166.7
2019-06-03,172.36
2019-06-04,174.73
2019-06-05,174.55
2019-06-06,174.45
2019-06-07,175.51
2019-06-10,175.58
2019-06-11,174.62
2019-06-12,175.6
2019-06-13,176.71
2019-06-14,176.08
2019-06-17,178.39
2019-06-18,181.61
2019-06-19,182.77
2019-06-20,184.08
2019-06-21,187.11
2019-06-24,184.83
2019-06-25,184.44
2019-06-26,183.17
2019-06-27,184.02
2019-06-28,184.28
2019-07-01,186.35
2019-07-02,186.64
2019-07-03,188.58
2019-07-05,185.94
2019-07-08,182.24
2019-07-09,181.59
2019-07-10,182.27
2019-07-11,178.0
2019-07-12,174.93
2019-07-15,176.12
2019-07-16,177.47
2019-07-17,177.06
2019-07-18,179.54
2019-07-19,178.39
2019-07-22,175.89
2019-07-23,176.01
2019-07-24,175.77
2019-07-25,174.11
2019-07-26,175.34
2019-07-29,176.08
2019-07-30,176.45
2019-07-31,186.58
2019-08-01,186.0
2019-08-02,187.22
2019-08-05,181.5
2019-08-06,184.46
2019-08-07,183.54
2019-08-08,185.23
2019-08-09,196.25
2019-08-12,205.78
2019-08-13,206.12
2019-08-14,198.87
2019-08-15,199.31
2019-08-16,204.02
2019-08-19,206.0
2019-08-20,203.17
2019-08-21,203.94
2019-08-22,203.42
2019-08-23,199.08
2019-08-26,205.41
2019-08-27,206.49
2019-08-28,207.52
2019-08-29,206.98
2019-08-30,208.62
2019-09-03,205.52
2019-09-04,206.32
2019-09-05,207.65
2019-09-06,207.73
2019-09-09,202.34
2019-09-10,196.87
2019-09-11,195.84
2019-09-12,194.0
2019-09-13,195.47
2019-09-16,194.08
2019-09-17,196.72
2019-09-18,195.04
2019-09-19,195.65
2019-09-20,196.94
2019-09-23,197.76
2019-09-24,196.55
2019-09-25,196.06
2019-09-26,195.38
2019-09-27,194.94
2019-09-30,193.51
2019-10-01,193.19
2019-10-02,189.21
2019-10-03,192.62
2019-10-04,195.59
2019-10-07,197.17
2019-10-08,196.08
2019-10-09,196.69
